Conid,Ticker,NAME,BOG_TH,SOG_TH,,,
276024,WFM,WHOLE FOODS MARKET,0.031497041,-0.028984733,,,
29380756,NDAQ,NASDAQ,0.035272819,-0.033454545,,,
45127739,CME,CME GROUP,0.031942458,-0.032097788,,,
13805,WMB,WILLIAMS,0.035243263,-0.0389522,,,
2586156,KMX,CARMAX,0.037197719,-0.034964809,,,
13980,XRX,XEROX,0.025375328,-0.028552661,,,
276222,XLNX,XILINX,0.024228194,-0.022150754,,,
3312890,YHOO,YAHOO,0.026582949,-0.028026237,,,
16191746,XEC,CIMAREX EN.,0.031306828,-0.032824316,,,
12814,TJX,TJX,0.023961264,-0.021484234,,,
276329,ZION,ZIONS BANCORP.,0.055,-0.050114943,,,
273815,RF,REGIONS FINL.NEW,0.068718447,-0.057978224,,,
33191300,TAP,MOLSON COORS BREWING 'B',0.01933449,-0.020045855,,,
35447205,CF,CF INDUSTRIES HDG.,0.039208688,-0.039794294,,,
35970258,AMP,AMERIPRISE FINL.,0.036686385,-0.038518072,,,
36285627,GME,GAMESTOP 'A',0.033195671,-0.034114921,,,
36786278,UA,UNDER ARMOUR 'A',0.039,-0.040290323,,,
37083557,VIAB,VIACOM 'B',0.029487744,-0.028838041,,,
37083548,CBS,CBS 'B',0.036347826,-0.035611111,,,
37655664,CMG,CHIPOTLE MEXN.GRILL,0.033269231,-0.030960276,,,
38685693,MA,MASTERCARD,0.031902038,-0.030111991,,,
38734858,HOT,STARWOOD H&R.WORLDWIDE,0.040499189,-0.033203328,,,
40021002,WYN,WYNDHAM WORLDWIDE,0.053237569,-0.044647059,,,
40369429,HBI,HANESBRANDS,0.041,-0.034081633,,,
40773257,WU,WESTERN UNION,0.028739328,-0.025979866,,,
41622169,FSLR,FIRST SOLAR,0.049418338,-0.042926623,,,
41993017,SE,SPECTRA ENERGY,0.022,-0.02274645,,,
43670008,PBCT,PEOPLES UNITED FINANCIAL,0.022375,-0.022838828,,,
44001820,DAL,DELTA AIR LINES,0.050034483,-0.054608815,,,
44652220,DFS,DISCOVER FINANCIAL SVS.,0.043,-0.041686747,,,
44986804,BK,BANK OF NEW YORK MELLON,0.038069569,-0.035478976,,,
46128760,TDC,TERADATA,0.029394064,-0.028045643,,,
47550606,IVZ,INVESCO,0.046563258,-0.042410714,,,
49588376,PM,PHILIP MORRIS INTL.,0.019,-0.019959735,,,
49462172,V,VISA 'A',0.028541388,-0.026328497,,,
50860546,DPS,DR PEPPER SNAPPLE GROUP,0.021946259,-0.021287848,,,
98606955,SNI,SCRIPPS NETWORKS INTACT. 'A',0.027627549,-0.027822222,,,
53747825,SIG,SIGNET JEWELERS,0.032,-0.024613773,,,
53855036,DISCA,DISCOVERY COMMS.'A',0.028597598,-0.028303313,,,
53855095,DISCK,DISCOVERY COMMS.'C',0.039698987,-0.028963393,,,xxx
89495776,MPC,MARATHON PETROLEUM,0.027,-0.029713525,,,
56505491,RIG,TRANSOCEAN,0.033093552,-0.035418773,,,
88292752,MOS,MOSAIC,0.038869544,-0.042609794,,,
83975037,KMI,KINDER MORGAN,0.020713021,-0.025205582,,,
95703740,XYL,XYLEM,0.016884222,-0.018745725,,,
73354293,SWK,STANLEY BLACK & DECKER,0.024,-0.022098517,,,
