Conid,Ticker,NAME,BOG_TH,SOG_TH,Primary Exchange
43150617,TRV,TRAVELERS COS.,0.028204013,-0.024276139,NYSE
37866641,FIS,FIDELITY NAT.INFO.SVS.,0.024,-0.021438573,NYSE
70101545,MRK,MERCK & COMPANY,0.019594189,-0.021319328,NYSE
4651842,PCLN,PRICELINE GROUP,0.030131573,-0.030284553,NASDAQ
12200,SLB,SCHLUMBERGER,0.025081967,-0.028684054,NYSE
11905,SCHW,CHARLES SCHWAB,0.031,-0.03116775,NYSE
12851783,ZBH,ZIMMER BIOMET HDG.,0.019792494,-0.019707216,NYSE
1714996,ABC,AMERISOURCEBERGEN,0.019,-0.020474359,NYSE
11032,PFG,PRINCIPAL FINL.GP.,0.051421166,-0.056804731,NYSE
12120,SHW,SHERWIN-WILLIAMS,0.024,-0.019994372,NYSE
2009113,SPG,SIMON PROPERTY GROUP,0.040623385,-0.036385093,NYSE
12259,SNA,SNAP-ON,0.023,-0.022492147,NYSE
13865082,PRU,PRUDENTIAL FINL.,0.052325858,-0.053095694,NYSE
4027,AAP,ADV.AUTO PARTS,0.025459245,-0.022280899,NYSE
12531,SWN,SOUTHWESTERN ENERGY,0.043805116,-0.041494781,NYSE
11899,EIX,EDISON INTL.,0.017,-0.019135368,NYSE
12300,SO,SOUTHERN,0.013294001,-0.014318349,NYSE
2806100,BBT,BB&T,0.038491228,-0.038259565,NYSE
9282,LUV,SOUTHWEST AIRLINES,0.025385795,-0.029007752,NYSE
37018770,T,AT&T,0.017536946,-0.01873913,NYSE
5684,CVX,CHEVRON,0.019289536,-0.019569403,NYSE
274599,SPLS,STAPLES,0.027,-0.025639344,NASDAQ
2730980,STT,STATE STREET,0.043415478,-0.042275521,NYSE
274105,SBUX,STARBUCKS,0.027659389,-0.023296651,NASDAQ
12002,PSA,PUBLIC STORAGE,0.034266416,-0.028453184,NYSE
4430948,SYK,STRYKER,0.017,-0.019447244,NYSE
15124833,NFLX,NETFLIX,0.04083827,-0.03388263,NASDAQ
6478100,SRCL,STERICYCLE,0.020345451,-0.01834381,NASDAQ
12451,STI,SUNTRUST BANKS,0.051150021,-0.047785614,NYSE
274925,SYMC,SYMANTEC,0.023751174,-0.022742616,NASDAQ
12581,SYY,SYSCO,0.016692112,-0.017885108,NYSE
9063285,ISRG,INTUITIVE SURGICAL,0.03031038,-0.02786374,NASDAQ
13011,TSO,TESORO,0.036712071,-0.038558698,NYSE
13096,TXN,TEXAS INSTRUMENTS,0.023,-0.021442308,NASDAQ
13101,TXT,TEXTRON,0.037797166,-0.042563906,NYSE
12869,TMO,THERMO FISHER SCIENTIFIC,0.020295153,-0.021736182,NYSE
12791,TIF,TIFFANY & CO,0.031477215,-0.028906784,NYSE
12856,TMK,TORCHMARK,0.031131455,-0.029985714,NYSE
13014,TSS,TOTAL SYSTEM SERVICES,0.024476384,-0.020904737,NYSE
1035459,DVA,DAVITA HEALTHCARE PTNS.,0.020655172,-0.019203309,NYSE
6858322,TSCO,TRACTOR SUPPLY,0.027170785,-0.025954023,NASDAQ
275405,TSN,TYSON FOODS 'A',0.028586572,-0.030075671,NYSE
9831,MRO,MARATHON OIL,0.028776301,-0.034435731,NYSE
13284,UNP,UNION PACIFIC,0.025087141,-0.02578039,NYSE
13364,UTX,UNITED TECHNOLOGIES,0.01686021,-0.018117145,NYSE
13272,UNH,UNITEDHEALTH GROUP,0.027628661,-0.028319842,NYSE
13206,UHS,UNIVERSAL HEALTH SVS.'B',0.025,-0.024631375,NYSE
13400,VAR,VARIAN MEDICAL SYSTEMS,0.020816568,-0.023895815,NYSE
4044062,VTR,VENTAS,0.033,-0.039755708,NYSE
13440,VFC,V F,0.02268973,-0.02296727,NYSE
275850,VRTX,VERTEX PHARMS.,0.035,-0.03395986,NASDAQ
13515,VMC,VULCAN MATERIALS,0.036,-0.030391208,NYSE
275527,URBN,URBAN OUTFITTERS,0.033740718,-0.03074412,NASDAQ
13535,VNO,VORNADO REALTY TRUST,0.038263969,-0.038938924,NYSE
13824,WMT,WAL MART STORES,0.015,-0.01473913,NYSE
13379,WM,WASTE MANAGEMENT,0.017373826,-0.019716724,NYSE
1448494,WAT,WATERS,0.022432169,-0.020213898,NYSE
15130038,SJM,J M SMUCKER,0.015316433,-0.016264534,NYSE
13681,WDC,WESTERN DIGITAL,0.033,-0.033928105,NASDAQ
13949,WY,WEYERHAEUSER,0.027,-0.029,NYSE
13751,WHR,WHIRLPOOL,0.032168178,-0.031814819,NYSE
4726021,SWKS,SKYWORKS SOLUTIONS,0.034811189,-0.036643154,NASDAQ
16454492,WYNN,WYNN RESORTS,0.043971532,-0.041576071,NASDAQ
276024,WFM,WHOLE FOODS MARKET,0.031497041,-0.028984733,NASDAQ
29380756,NDAQ,NASDAQ,0.035272819,-0.033454545,NASDAQ
45127739,CME,CME GROUP,0.031942458,-0.032097788,NASDAQ
13805,WMB,WILLIAMS,0.035243263,-0.0389522,NYSE
2586156,KMX,CARMAX,0.037197719,-0.034964809,NYSE
13980,XRX,XEROX,0.025375328,-0.028552661,NYSE
276222,XLNX,XILINX,0.024228194,-0.022150754,NASDAQ
3312890,YHOO,YAHOO,0.026582949,-0.028026237,NASDAQ
16191746,XEC,CIMAREX EN.,0.031306828,-0.032824316,NYSE
12814,TJX,TJX,0.023961264,-0.021484234,NYSE
276329,ZION,ZIONS BANCORP.,0.055,-0.050114943,NASDAQ
273815,RF,REGIONS FINL.NEW,0.068718447,-0.057978224,NYSE
33191300,TAP,MOLSON COORS BREWING 'B',0.01933449,-0.020045855,NYSE
35447205,CF,CF INDUSTRIES HDG.,0.039208688,-0.039794294,NYSE
35970258,AMP,AMERIPRISE FINL.,0.036686385,-0.038518072,NYSE
36285627,GME,GAMESTOP 'A',0.033195671,-0.034114921,NYSE
36786278,UA,UNDER ARMOUR 'A',0.039,-0.040290323,NYSE
37083557,VIAB,VIACOM 'B',0.029487744,-0.028838041,NASDAQ
37083548,CBS,CBS 'B',0.036347826,-0.035611111,NYSE
37655664,CMG,CHIPOTLE MEXN.GRILL,0.033269231,-0.030960276,NYSE
38685693,MA,MASTERCARD,0.031902038,-0.030111991,NYSE
38734858,HOT,STARWOOD H&R.WORLDWIDE,0.040499189,-0.033203328,NYSE
40021002,WYN,WYNDHAM WORLDWIDE,0.053237569,-0.044647059,NYSE
40369429,HBI,HANESBRANDS,0.041,-0.034081633,NYSE
